,reference_distance,mesured_distance,signal_strength,delta
520,4.054,4.27,-80.04,0.2159999999999993
521,4.054,4.17,-80.89,0.11599999999999966
522,4.054,4.24,-82.44,0.18599999999999994
523,4.054,4.3,-81.35,0.24599999999999955
524,4.054,4.16,-81.94,0.10599999999999987
525,4.054,4.31,-81.95,0.25599999999999934
526,4.054,4.27,-81.21,0.2159999999999993
527,4.054,4.26,-81.53,0.20599999999999952
528,4.054,4.3,-81.65,0.24599999999999955
529,4.054,4.2,-79.69,0.1459999999999999
530,4.054,4.29,-81.33,0.23599999999999977
531,4.054,4.28,-81.34,0.22599999999999998
532,4.054,4.3,-81.17,0.24599999999999955
533,4.054,4.21,-80.04,0.1559999999999997
534,4.054,4.31,-79.45,0.25599999999999934
535,4.978,5.11,-81.0,0.13200000000000056
536,4.978,5.15,-80.48,0.1720000000000006
537,4.978,5.15,-80.34,0.1720000000000006
538,4.978,5.18,-81.34,0.20199999999999996
539,4.978,5.22,-80.75,0.242
540,4.978,5.17,-81.29,0.19200000000000017
541,4.978,5.2,-81.78,0.22200000000000042
542,4.978,5.21,-81.86,0.2320000000000002
543,4.978,5.2,-81.85,0.22200000000000042
544,4.978,5.22,-81.78,0.242
545,4.978,5.18,-81.94,0.20199999999999996
546,4.978,5.19,-82.28,0.21200000000000063
547,4.978,5.2,-82.6,0.22200000000000042
548,4.978,5.19,-82.71,0.21200000000000063
549,4.978,5.18,-82.3,0.20199999999999996
550,4.978,5.2,-82.87,0.22200000000000042
551,4.978,5.18,-81.42,0.20199999999999996
552,4.978,5.16,-81.6,0.18200000000000038
553,4.978,5.2,-81.9,0.22200000000000042
554,4.978,5.2,-80.76,0.22200000000000042
555,4.978,5.21,-81.29,0.2320000000000002
556,4.978,5.2,-81.04,0.22200000000000042
557,4.978,5.21,-81.0,0.2320000000000002
558,4.978,5.21,-81.06,0.2320000000000002
559,4.978,5.2,-82.0,0.22200000000000042
560,4.978,5.19,-81.63,0.21200000000000063
561,4.978,5.24,-81.41,0.26200000000000045
562,4.978,5.13,-81.21,0.15200000000000014
563,4.978,5.19,-80.66,0.21200000000000063
564,4.978,5.2,-81.86,0.22200000000000042
565,40.381,40.83,-88.17,0.44899999999999807
566,40.381,40.8,-88.22,0.41899999999999693
567,40.381,40.81,-88.84,0.42900000000000205
568,40.381,40.84,-88.32,0.4590000000000032
569,40.381,40.8,-87.72,0.41899999999999693
570,40.381,40.81,-87.7,0.42900000000000205
571,40.381,40.83,-87.56,0.44899999999999807
572,40.381,40.8,-88.25,0.41899999999999693
573,40.381,40.83,-88.05,0.44899999999999807
574,40.381,40.84,-88.06,0.4590000000000032
575,40.381,40.77,-88.9,0.3890000000000029
576,40.381,40.79,-88.64,0.4089999999999989
577,40.381,40.79,-88.81,0.4089999999999989
578,40.381,40.82,-88.6,0.43900000000000006
579,40.381,40.78,-88.64,0.3990000000000009
580,40.381,40.8,-88.84,0.41899999999999693
581,40.381,40.81,-88.51,0.42900000000000205
582,40.381,40.82,-88.05,0.43900000000000006
583,40.381,40.8,-88.35,0.41899999999999693
584,40.381,40.81,-88.29,0.42900000000000205
